pricePerUnit;brand;productType;identificationID;dimensions;title;quantityAvailable;mainImage;technicalSheetURL
22.4;Milliken;Réemploi;GIZ2210012;50x50;Artistic Liberties Saten;44;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/GIZ2210012-MIL-ARTISTIC-LIBERTIES-SATEEN--LOGO-Tvqk.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/99858f13-57a5-4f73-9cc2-922d86a91330.pdf
21;Desso;Réemploi;GIZ2210013;50x50;Jeans Original AA27 8904;14;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/GIZ2210013--DESSO-JENS-ORIGINAl-LOGO-q6Uk.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/914fb9b8-c56b-4e34-bad7-5c33d8bf5f3f.pdf
11.2;Tecsom;Réemploi;GIZ2211005;50x50;Marron;65;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/2211005-TECSOM-MARRON-LOGO-8uxg.jpeg;
25.2;Shaw contract;Réemploi;GIZ2301004;25x100;5T253 53518 Pewter;200;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/53518-Pewter-CUe5.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/095cfeb3-7e98-4713-82eb-ee11cf21b919.pdf
25.2;Shaw contract;Réemploi;GIZ2301006;25x100;5T253 53549 Graphite;55;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/53549-Graphite-c2WO.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/5a66aee8-dcde-46ec-b6dd-e814b19e4ca9.pdf
11.2;Desso;Réemploi;GIZ2211004;50x50;Palatino 4107;92;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/DESSO-PALATINO-GIZ2211004-rose-logo-9w0g.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/494281a9-e444-41bc-a29d-615e6a8a16a3.pdf
24.5;Milliken;Réemploi;GIZ2302005-DV2328;45.7x45.7;Laylines LLN108-174 Tusk;60;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/Tusk-Logo-ngOh.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/8905ff3a-57b6-47bf-b770-12b62d096ae5.pdf
18.2;Modulyss;Réemploi;GIZ2301008;50x50;Spark 140;107;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/140-TPVr.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/140-Xzaa.pdf
11.2;Desso;Réemploi;GIZ2208011;50x50;Lupo 2932;81;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/2932-logo-m0zd.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/443acc5b-4b23-43f7-804a-a38f378d0f01.pdf
22.4;Desso;Réemploi;GIZ2301010_bloqué DV 3326;50x50;Linon 9508;20;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/9508-2aVF.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/c0b49e13-3fd8-49c8-a06e-f14e3862a590.pdf
