SKU,PRICE,PRICE_LIST_SLUG
MILLIKEN-GIZ2209010,32.0,plus-eur
MILLIKEN-GIZ2209010,342.0,premium-sek
MILLIKEN-GIZ2209010,349.0,premium-nok
MILLIKEN-GIZ2209010,238.0,premium-dkk
MILLIKEN-GIZ2209010,32.0,premium-eur
MILLIKEN-GIZ2202005,348.0,utloggad-sek
MILLIKEN-GIZ2202005,355.0,utloggad-nok
MILLIKEN-GIZ2202005,242.0,utloggad-dkk
MILLIKEN-GIZ2202005,33.0,utloggad-eur
MILLIKEN-GIZ2202005,348.0,member-sek
MILLIKEN-GIZ2202005,355.0,member-nok
MILLIKEN-GIZ2202005,242.0,member-dkk
MILLIKEN-GIZ2202005,33.0,member-eur
MILLIKEN-GIZ2202005,313.0,plus-sek
MILLIKEN-GIZ2202005,320.0,plus-nok
MILLIKEN-GIZ2202005,218.0,plus-dkk
MILLIKEN-GIZ2202005,30.0,plus-eur
MILLIKEN-GIZ2202005,313.0,premium-sek
MILLIKEN-GIZ2202005,320.0,premium-nok
MILLIKEN-GIZ2202005,218.0,premium-dkk
MILLIKEN-GIZ2202005,30.0,premium-eur
MILLIKEN-GIZ2210012,338.0,utloggad-sek
MILLIKEN-GIZ2210012,344.0,utloggad-nok
MILLIKEN-GIZ2210012,235.0,utloggad-dkk
MILLIKEN-GIZ2210012,32.0,utloggad-eur
MILLIKEN-GIZ2210012,338.0,member-sek
MILLIKEN-GIZ2210012,344.0,member-nok
MILLIKEN-GIZ2210012,235.0,member-dkk
MILLIKEN-GIZ2210012,32.0,member-eur
MILLIKEN-GIZ2210012,304.0,plus-sek
MILLIKEN-GIZ2210012,310.0,plus-nok
MILLIKEN-GIZ2210012,211.0,plus-dkk
MILLIKEN-GIZ2210012,29.0,plus-eur
MILLIKEN-GIZ2210012,304.0,premium-sek
MILLIKEN-GIZ2210012,310.0,premium-nok
MILLIKEN-GIZ2210012,211.0,premium-dkk
MILLIKEN-GIZ2210012,29.0,premium-eur
MILLIKEN-GIZ2306003,359.0,utloggad-sek
MILLIKEN-GIZ2306003,366.0,utloggad-nok
MILLIKEN-GIZ2306003,250.0,utloggad-dkk
MILLIKEN-GIZ2306003,34.0,utloggad-eur
MILLIKEN-GIZ2306003,359.0,member-sek
MILLIKEN-GIZ2306003,366.0,member-nok
MILLIKEN-GIZ2306003,250.0,member-dkk
MILLIKEN-GIZ2306003,34.0,member-eur
MILLIKEN-GIZ2306003,323.0,plus-sek
MILLIKEN-GIZ2306003,329.0,plus-nok
MILLIKEN-GIZ2306003,225.0,plus-dkk
MILLIKEN-GIZ2306003,30.0,plus-eur
MILLIKEN-GIZ2306003,323.0,premium-sek
MILLIKEN-GIZ2306003,329.0,premium-nok
MILLIKEN-GIZ2306003,225.0,premium-dkk
MILLIKEN-GIZ2306003,30.0,premium-eur
RCT-C-TEST001,279.0,utloggad-sek
RCT-C-TEST001,285.0,utloggad-nok
RCT-C-TEST001,194.0,utloggad-dkk
RCT-C-TEST001,26.0,utloggad-eur
RCT-C-TEST001,279.0,member-sek
RCT-C-TEST001,285.0,member-nok
RCT-C-TEST001,194.0,member-dkk
RCT-C-TEST001,26.0,member-eur
RCT-C-TEST001,251.0,plus-sek
RCT-C-TEST001,256.0,plus-nok
RCT-C-TEST001,175.0,plus-dkk
RCT-C-TEST001,24.0,plus-eur
RCT-C-TEST001,251.0,premium-sek
RCT-C-TEST001,256.0,premium-nok
RCT-C-TEST001,175.0,premium-dkk
RCT-C-TEST001,24.0,premium-eur
RCT-C-TEST002,286.0,utloggad-sek
RCT-C-TEST002,292.0,utloggad-nok
RCT-C-TEST002,199.0,utloggad-dkk
RCT-C-TEST002,27.0,utloggad-eur
RCT-C-TEST002,286.0,member-sek
RCT-C-TEST002,292.0,member-nok
RCT-C-TEST002,199.0,member-dkk
RCT-C-TEST002,27.0,member-eur
RCT-C-TEST002,258.0,plus-sek
RCT-C-TEST002,263.0,plus-nok
RCT-C-TEST002,179.0,plus-dkk
RCT-C-TEST002,24.0,plus-eur
RCT-C-TEST002,258.0,premium-sek
RCT-C-TEST002,263.0,premium-nok
RCT-C-TEST002,179.0,premium-dkk
RCT-C-TEST002,24.0,premium-eur
RCT-C-TEST003,264.0,utloggad-sek
RCT-C-TEST003,269.0,utloggad-nok
RCT-C-TEST003,184.0,utloggad-dkk
RCT-C-TEST003,25.0,utloggad-eur
RCT-C-TEST003,264.0,member-sek
RCT-C-TEST003,269.0,member-nok
RCT-C-TEST003,184.0,member-dkk
RCT-C-TEST003,25.0,member-eur
RCT-C-TEST003,238.0,plus-sek
RCT-C-TEST003,242.0,plus-nok
RCT-C-TEST003,165.0,plus-dkk
RCT-C-TEST003,23.0,plus-eur
RCT-C-TEST003,238.0,premium-sek
RCT-C-TEST003,242.0,premium-nok
RCT-C-TEST003,165.0,premium-dkk
RCT-C-TEST003,23.0,premium-eur
RCT-C-TEST004,301.0,utloggad-sek
RCT-C-TEST004,308.0,utloggad-nok
RCT-C-TEST004,210.0,utloggad-dkk
RCT-C-TEST004,28.0,utloggad-eur
RCT-C-TEST004,301.0,member-sek
RCT-C-TEST004,308.0,member-nok
RCT-C-TEST004,210.0,member-dkk
RCT-C-TEST004,28.0,member-eur
RCT-C-TEST004,271.0,plus-sek
RCT-C-TEST004,277.0,plus-nok
RCT-C-TEST004,189.0,plus-dkk
RCT-C-TEST004,26.0,plus-eur
RCT-C-TEST004,271.0,premium-sek
RCT-C-TEST004,277.0,premium-nok
RCT-C-TEST004,189.0,premium-dkk
RCT-C-TEST004,26.0,premium-eur
RCT-C-TEST005,317.0,utloggad-sek
RCT-C-TEST005,323.0,utloggad-nok
RCT-C-TEST005,220.0,utloggad-dkk
RCT-C-TEST005,30.0,utloggad-eur
RCT-C-TEST005,317.0,member-sek
RCT-C-TEST005,323.0,member-nok
RCT-C-TEST005,220.0,member-dkk
RCT-C-TEST005,30.0,member-eur
RCT-C-TEST005,285.0,plus-sek
RCT-C-TEST005,291.0,plus-nok
RCT-C-TEST005,198.0,plus-dkk
RCT-C-TEST005,27.0,plus-eur
RCT-C-TEST005,285.0,premium-sek
RCT-C-TEST005,291.0,premium-nok
RCT-C-TEST005,198.0,premium-dkk
RCT-C-TEST005,27.0,premium-eur
RC-SERVICE-MONTERING,45.0,utloggad-sek
RC-SERVICE-MONTERING,46.0,utloggad-nok
RC-SERVICE-MONTERING,32.0,utloggad-dkk
RC-SERVICE-MONTERING,5.0,utloggad-eur
RC-SERVICE-MONTERING,45.0,member-sek
RC-SERVICE-MONTERING,46.0,member-nok
RC-SERVICE-MONTERING,32.0,member-dkk
RC-SERVICE-MONTERING,5.0,member-eur
RC-SERVICE-MONTERING,45.0,plus-sek
RC-SERVICE-MONTERING,46.0,plus-nok
RC-SERVICE-MONTERING,32.0,plus-dkk
RC-SERVICE-MONTERING,5.0,plus-eur
RC-SERVICE-MONTERING,45.0,premium-sek
RC-SERVICE-MONTERING,46.0,premium-nok
RC-SERVICE-MONTERING,32.0,premium-dkk
RC-SERVICE-MONTERING,5.0,premium-eur
RC-SERVICE-DEMONTERING,30.0,utloggad-sek
RC-SERVICE-DEMONTERING,31.0,utloggad-nok
RC-SERVICE-DEMONTERING,21.0,utloggad-dkk
RC-SERVICE-DEMONTERING,3.0,utloggad-eur
RC-SERVICE-DEMONTERING,30.0,member-sek
RC-SERVICE-DEMONTERING,31.0,member-nok
RC-SERVICE-DEMONTERING,21.0,member-dkk
RC-SERVICE-DEMONTERING,3.0,member-eur
RC-SERVICE-DEMONTERING,30.0,plus-sek
RC-SERVICE-DEMONTERING,31.0,plus-nok
RC-SERVICE-DEMONTERING,21.0,plus-dkk
RC-SERVICE-DEMONTERING,3.0,plus-eur
RC-SERVICE-DEMONTERING,30.0,premium-sek
RC-SERVICE-DEMONTERING,31.0,premium-nok
RC-SERVICE-DEMONTERING,21.0,premium-dkk
RC-SERVICE-DEMONTERING,3.0,premium-eur
RC-SERVICE-RENGORING,30.0,utloggad-sek
RC-SERVICE-RENGORING,31.0,utloggad-nok
RC-SERVICE-RENGORING,21.0,utloggad-dkk
RC-SERVICE-RENGORING,3.0,utloggad-eur
RC-SERVICE-RENGORING,30.0,member-sek
RC-SERVICE-RENGORING,31.0,member-nok
RC-SERVICE-RENGORING,21.0,member-dkk
RC-SERVICE-RENGORING,3.0,member-eur
RC-SERVICE-RENGORING,30.0,plus-sek
RC-SERVICE-RENGORING,31.0,plus-nok
RC-SERVICE-RENGORING,21.0,plus-dkk
RC-SERVICE-RENGORING,3.0,plus-eur
RC-SERVICE-RENGORING,30.0,premium-sek
RC-SERVICE-RENGORING,31.0,premium-nok
RC-SERVICE-RENGORING,21.0,premium-dkk
RC-SERVICE-RENGORING,3.0,premium-eur
